generation;fitness;score;genome
0;0.0888889;0;1000010000000100000100001000101110110000000000000000000000000000000100000100000000010000000010000000100010100000000011010010000100001000100000000000001001000000000000011000000100001000000100100000010101100010001000010000000100000010000100000000000010000100000000000001001001000010010001000110000100001000000000000000000000000010000000010000000010000100100000000000001000000100000010100000100010000000;
0;0;0;0010000000001000010000000100010000100000010000001000000001001000101000001100000100101100000110000110100010000100000000000000000000100000110000000101100011000000000010000000000100100000010100001010000000010110010100000010000001000000010001100000000101110010010000010000000100000000101000000000010000000000000000101100000001010010000001101000000100100000000101000010010000000001000001001101010000000000;
0;0;0;0000001000000000000010000000111010100010010000000110101010101000000000001000000000010100000000010010000001101000001000011001001000000010000000000001000000100001000001000011000000000101100010000111010100100000000000001100001000001000100000000000010000000000100001001000010000000001010000100000010100100010001001001001100100010000001000011001000000000010000000010011001100000000010010000010000000001101;
0;0;0;0100100001000101000000000001000000000001010000000010110100100000101000010000010100001000000000010000010000000010011000000000000011000010101100001000000010000010000000000001101000000000010001000010000100000010000010110010000001000010000010011000000001100000000000000000010000000000000000100000000100110000000000000010010000111001110010000000000001000000000000010010110010101101010010010000100001100100;
0;0;0;1010100001000000000000011100000000011001011100000100000000110000011010000000100000010000110001000000100000000000000001001000000000100010000000100101100000000001000000011010000100100001000000010001000000000000001100000100100000000001010000100000110011000110000100001000100100000000010000000000001000010000000100000000000010001000000000000000000000000001000010100000010001100001000011100000110110100000;
0;0;0;0010000000000011100101001000001000000000000000100100011010000100000010000011000000000101000000000010000010000000001000000010000100000001010000101000000010000000011010000000100010011000010000000001010101110010000010010000100010000000001000000000000001000000010000101110000000000010001001011000110000000000000000001100100001100100001001001100000110100010000110001010101000010010000010000000110000001000;
0;0;0;1001000000010000000000000000100110000000000001010000000001001000001010100011000000011000000000101000010000000100000010000000001000010001101000001000111010000001100100011100100000010100000000100010010110100000000000110010001001000000001000101010110101000000100100001010000001000000000000101101100000010100100000100100011100000011001000000010101000010100110010000000001000000010000000100100000010011100;
0;0;0;1001100000000001000000000000010000000100000001010000000010000000000000011000000100010000000100000000100001000000000000000100010101110000000011001000001000100011011010100011000110000000010000000000001001000010000100100110000101001010000000000010010000000000011000100000000011000000100000000000001111100000000100001000100000010001000000010000001001100000100100000000110000010010001001100010010100000000;
0;0;0;0101010000010000001000000100101010000001000000001010000000001000000000000000010000001100000010000000001001000000000001010001000001001000001000000100100101010001000000100000010100010101100000000010000000100001000000100000001000010001010010010111010001000001000001000000010010010000010100000100000001100000000100000100100000000000010000000100100100000000000000000000100110111000110001001000000010001100;
0;0;0;0010001100000000100100010001001000000100000011110000000000001100000001000101000010010101000000001000010000100000000000001010100110010101000100001000000000000100000001000000010101010001000110110000000000000100000001100100000000010000000100000010110000000000000111000000001100010001000000010000000000000010000110011101000111001001010000100000000010010000000010100101010000010101100011010010100000000001;
0;0;0;1000010000000000000000100000011000001010000100000110000000001001000010001000000000000000001000100000001101001100100001001000000000010010010000100000100100000100101000011010000100100000000000010001101110001000000100000000100101000000001000010001001010001100001000010001000000010110000000100000110010100000001010100100010100000000000000000001101001001010000000000000000101010000000000100001000000000000;
0;0;0;0000001000000000000000010000000011000000000000100001000000011000100000010000000000010000110001100110000100001000100000000000101010101100010010000000010000100010000001100100000000000000000100100000100000000100000100000000101101001000000000000001010000010110001000001000100000000000010000000001000000001001100000010000001011000000000101000000000101100000011101010001110000010000010000000101010000100010;
0;0;0;0110100000000000000110000101010010000000000001001110001000100010100001000001000001000000010000110000001000000001110000000011000010100000010010000000000000001010000100000000010000000001000000000001010100000100000000000001010001000111111010001010101100000010000000001010001001000000000010000000000001000000011000000000000011100100000000100000000010000000001000000000000000100000010001000001000010000000;
0;0;0;0000000000000000000000000001001000100100000001010000100010000010000101000000000101000001000000000000000001100111000010001100000100000010000100110010000000110000100000100000100100000000000000000000100000000001010000010000000000010000000000001000000001010000000100100000100000000000000100101001000010010110000000000010010000000100010000000000000000000000000000000110001100001010001011000010001010011111;
0;0;0;0101100000000000000000000000101000100001011000000000000011000001010001110010000001000000100000010100101011000010110000000000101000000000000100000000100011000010000001100010000000000100001000010110001000010000001000010000000000001010000010000000100001100000100000010010000100001000000000100001000010001000100001000010000011000000110000010111000001000001000000001110000000100000000000000001010011001000;
0;0;0;0000100000101011100100000000001100001000000000000000011011000000100000000000000100000100000000001010101010000000010001000010001001111000000000001000010100010100100000110110010100000000000000000000010010100000000100001001000000001010110100000000100000110101000010000000110011001000100000000001000000010000010000000000100000001000000000000000101000011001111001110100001000000000010001000001011000000001;
0;0;0;0110110000001100000000000010001000000100100000001000000000001010001000100000000000000000010001100000001000000000000010001000000010000101100010010000010000000010000001110100000000101001000000001000000000111100010000001010000000000000000000000010000110001110000000010000010000000001100001100000100100100000000000000011100001000001010000000010101000100000011000100000000000100001100000001110100100010100;
